,index,Chainage,tnd_ot,tnd_hdd,hdd,drt,drt_duct_dam,dit,dit_duct_miss,blow
0,200,0,False,False,False,True,False,True,False,True
1,201,1,False,False,False,True,False,True,False,True
2,202,2,False,False,False,True,False,True,False,True
3,203,3,False,False,False,True,False,True,False,True
4,204,4,False,False,False,True,False,True,False,True
5,205,5,False,False,False,True,False,True,False,True
6,206,6,False,False,False,True,False,True,False,True
7,207,7,False,False,False,True,False,True,False,True
8,208,8,False,False,False,True,False,True,False,True
9,209,9,False,False,False,True,False,True,False,True
10,210,10,False,False,False,True,False,True,False,True
11,211,11,False,False,False,True,False,True,False,True
12,212,12,False,False,False,True,False,True,False,True
13,213,13,False,False,False,True,False,True,False,True
14,214,14,False,False,False,True,False,True,False,True
15,215,15,False,False,False,True,False,True,False,True
16,216,16,False,False,False,True,False,True,False,True
17,217,17,False,False,False,True,False,True,False,True
18,218,18,False,False,False,True,False,True,False,True
19,219,19,False,False,False,True,False,True,False,True
20,220,20,False,False,False,True,False,True,False,True
21,221,21,False,False,False,True,False,True,False,True
22,222,22,False,False,False,True,False,True,False,True
23,223,23,False,False,False,True,False,True,False,True
24,224,24,False,False,False,True,False,True,False,True
25,225,25,False,False,False,True,False,True,False,True
26,226,26,False,False,False,True,False,True,False,True
27,227,27,False,False,False,True,False,True,False,True
28,228,28,False,False,False,True,False,True,False,True
29,229,29,False,False,False,True,False,True,False,True
30,230,30,False,False,False,True,False,True,False,True
31,231,31,False,False,False,True,False,True,False,True
32,232,32,False,False,False,True,False,True,False,True
33,233,33,False,False,False,True,False,True,False,True
34,234,34,False,False,False,True,False,True,False,True
35,235,35,False,False,False,True,False,True,False,True
36,236,36,False,False,False,True,False,True,False,True
37,237,37,False,False,False,True,False,True,False,True
38,238,38,False,False,False,True,False,True,False,True
39,239,39,False,False,False,True,False,True,False,True
40,240,40,False,False,False,True,False,True,False,True
41,241,41,False,False,False,True,False,True,False,True
42,242,42,False,False,False,True,False,True,False,True
43,243,43,False,False,False,True,False,True,False,True
44,244,44,False,False,False,True,False,True,False,True
45,245,45,False,False,False,True,False,True,False,True
46,246,46,False,False,False,True,False,True,False,True
47,247,47,False,False,False,True,False,True,False,True
48,248,48,False,False,False,True,False,True,False,True
49,249,49,False,False,False,True,False,True,False,True
50,250,50,False,False,False,True,False,True,False,True
51,251,51,False,False,False,True,False,True,False,True
52,252,52,False,False,False,True,False,True,False,True
53,253,53,False,False,False,True,False,True,False,True
54,254,54,False,False,False,True,False,True,False,True
55,255,55,False,False,False,True,False,True,False,True
56,256,56,False,False,False,True,False,True,False,True
57,257,57,False,False,False,True,False,True,False,True
58,258,58,False,False,False,True,False,True,False,True
59,259,59,False,False,False,True,False,True,False,True
60,260,60,False,False,False,True,False,True,False,True
61,261,61,False,False,False,True,False,True,False,True
62,262,62,False,False,False,True,False,True,False,True
63,263,63,False,False,False,True,False,True,False,True
64,264,64,False,False,False,True,False,True,False,True
65,265,65,False,False,False,True,False,True,False,True
66,266,66,False,False,False,True,False,True,False,True
67,267,67,False,False,False,True,False,True,False,True
68,268,68,False,False,False,True,False,True,False,True
69,269,69,False,False,False,True,False,True,False,True
70,270,70,False,False,False,True,False,True,False,True
71,271,71,False,False,False,True,False,True,False,True
72,272,72,False,False,False,True,False,True,False,True
73,273,73,False,False,False,True,False,True,False,True
74,274,74,False,False,False,True,False,True,False,True
75,275,75,False,False,False,True,False,True,False,True
76,276,76,False,False,False,True,False,True,False,True
77,277,77,False,False,False,True,False,True,False,True
78,278,78,False,False,False,True,False,True,False,True
79,279,79,False,False,False,True,False,True,False,True
80,280,80,False,False,False,True,False,True,False,True
81,281,81,False,False,False,True,False,True,False,True
82,282,82,False,False,False,True,False,True,False,True
83,283,83,False,False,False,True,False,True,False,True
84,284,84,False,False,False,True,False,True,False,True
85,285,85,False,False,False,True,False,True,False,True
86,286,86,False,False,False,True,False,True,False,True
87,287,87,False,False,False,True,False,True,False,True
88,288,88,False,False,False,True,False,True,False,True
89,289,89,False,False,False,True,False,True,False,True
90,290,90,False,False,False,True,False,True,False,True
91,291,91,False,False,False,True,False,True,False,True
92,292,92,False,False,False,True,False,True,False,True
93,293,93,False,False,False,True,False,True,False,True
94,294,94,False,False,False,True,False,True,False,True
95,295,95,False,False,False,True,False,True,False,True
96,296,96,False,False,False,True,False,True,False,True
97,297,97,False,False,False,True,False,True,False,True
98,298,98,False,False,False,True,False,True,False,True
99,299,99,False,False,False,True,False,True,False,True
100,300,100,False,False,False,True,False,True,False,True
101,301,101,False,False,False,True,False,True,False,True
102,302,102,False,False,False,True,False,True,False,True
103,303,103,False,False,False,True,False,True,False,True
104,304,104,False,False,False,True,False,True,False,True
105,305,105,False,False,False,True,False,True,False,True
106,306,106,False,False,False,True,False,True,False,True
107,307,107,False,False,False,True,False,True,False,True
108,308,108,False,False,False,True,False,True,False,True
109,309,109,False,False,False,True,False,True,False,True
110,310,110,False,False,False,True,False,True,False,True
111,311,111,False,False,False,True,False,True,False,True
112,312,112,False,False,False,True,False,True,False,True
113,313,113,False,False,False,True,False,True,False,True
